tuits,sentiment
esto es no de creer,negativo
una sentencia en estado de emergencia y con semejante situación sanitaria,negativo
Se ha hecho justicia,negativo
De nada les sirvió sus Fake news e intrigas,negativo
Le han cortado la cabeza a la serpiente mayor,negativo
se lo inventó Correa o les mando a pagar Explícame por favor,negativo
Amarre,negativo
Ni en esta crisis dejan de atacarlo pongan mas asunto a el país,negativo
que juzguen a los involucrados en el caso mascarillas,negativo
Esto si es como para emborracharse sola Maldito,negativo
Me da igual por q hay mucha gente que sigue muriendo,negativo
El culo te abrocho,negativo
Se esta muriendo gente a quien le importa esa huevada CARE VERGAS,negativo
No saldrán a festejar porque estamos en Toque de Queda,negativo
Se debe emprender una campaña de persecución al canalla,negativo
Será que ahora si las autoridades se preocupan del tema de la salud,negativo
Crónica anunciada,negativo
Ya mismo vienen elecciones,negativo
el pueblo les vamos a dar una lección que no olvidarán jamás,negativo
cuándo llegué el momento no digan que no se les dio el tiempo,negativo
cuando saldrá una sentencia que haga devolver todo lo robado,negativo
ganar y robar es delito,negativo
Tener votos y ser popular no da derecho a robar,negativo
Asi deberian proceder con todos los criminales no con los que les conviene,negativo
De aquí viene la apelación y se extenderá el caso,negativo
Mínimo debería estar de color naranja en una cárcel de los Estados Unidos,negativo
Dar refugio a grupos terroristas,negativo
Tráfico de drogas,negativo
Están que lloran las correístas,negativo
la justicia internacional hace oídos sordos de las denuncias,negativo
No hay pruebas verídicas solo suposiciones y una persecución política,negativo
La sentencia me parece un chiste,negativo
No es novedad,negativo
Ya es hora de que pague todas sus fechorias,negativo
Cuando la ley es hecha por interés de un sector político esta nunca responderá a la justicia,negativo
A los jueces no les pego la peste puede ser,negativo
Toma en la trompa ladrón hijo de mil,negativo
Algo es algo debieron darle cadena perpetua,negativo
Impleméntese esa pana para políticos como estos bastardos,negativo
Infelices gracias a el existen los hospitals,negativo
Que desgracia de Gobierno,negativo
Peor es nada,negativo
Que devuelvan todo lo robado en años también,negativo
no tenía el dinero para Crisis Por Desastres,negativo
si robaron imagínense,negativo
Ya toda la ineptitud en materia de salud manejo económico seguridad y educación,negativo
Bueno y le sentencian cuando le traen cuando devuelve lo robado,negativo
Osea lo van arrestar donde radica y vive comodamente,negativo
Ya sabiamos lo que iva a pasar pero tranquilo no celebrén aún recuerden,negativo
Ése es otro ladrón que lo debe estar esperando en la última paila del infierno,negativo
Y la plata Como se recupera eso,negativo
debe devolver todo el dinero robado,negativo
No es suficiente solo la cárcel,negativo
Donde están los juicios de los otros que saquearon al país a través de la historia,negativo
La justicia es ciega,negativo
Se merece muchos años de carcel pero por lo menos ya es algo,negativo
Que devuelva lo robado,negativo
Basuras ahora viene la apelacion,negativo
Ocho años es poco,negativo
Quiénes son los otros doce condenados,negativo
Qué bestia como pueden priorizar estas sentencias habien un virus,negativo
Ridiculos ganen en las urnas No hagan lawfare,negativo
y los corruptos que se críen intocables ahora pagaran por sus delitos,negativo
Esta noticia no me alegra del todo algo no Cierra,negativo
Robo el lavado de cerebros a toda la juventud de la década robada,negativo
No están en las universidades o tienen algún trabajo,negativo
Ecuador sin justicia ni Estado de derecho,negativo
sentencia sin pruebas y proceso viciado pero complaciente a poder mediático,negativo
La gente miserable piensa destrúyelos porque cometen errores,negativo
Deja que devuelva lo que robó,negativo
Y en lugar de donar algo que fue robado de la sala de emergencias él está allí.,negativo
Sacar odio y mas odio,negativo
Se comete una gran injusticia,negativo
increíble,negativo
un castigo en estado de emergencia y con tal situación de salud,negativo
Se hizo justicia,negativo
Tus mensajes falsos e intrigas fueron inútiles,negativo
Le cortaron la cabeza a la serpiente más grande,negativo
Correa lo inventó o lo envío para el pago. Por favor explícamelo,negativo
Incluso en esta crisis continúan atacando y despreocupándose por el país.,negativo
para probar a los ladrones involucradas en el caso de la máscara,negativo
Aquí te explicamos cómo emborracharte solo,negativo
No me importa por qué hay tanta gente que sigue muriendo,negativo
Tu culo está abotonado,negativo
Las personas que están interesadas en este huevo mueren.,negativo
No saldrás a celebrar porque estamos en Toque de Queda,negativo
Se debe lanzar una campaña de persecución de villanos,negativo
Solo será ahora cuando las autoridades estén preocupadas por el problema de salud.,negativo
Crónica anunciada,negativo
Las elecciones estan pendientes,negativo
La gente les enseñará una lección que nunca olvidarán.,negativo
Cuando sea el momento adecuado no digas que no tuvieron tiempo,negativo
Cuando sale una oración todo es robado,negativo
Ganar y robar es un crimen,negativo
Tener voces y ser popular no te da derecho a volar,negativo
Así es como debes hacerlo con todos los delincuentes no con los que te convienen,negativo
De ahí viene la apelación y el caso se expande.,negativo
El mínimo debe ser naranja en una prisión estadounidense.,negativo
Hogar de grupos terroristas,negativo
Narcotráfico,negativo
Correístas lloran,negativo
El poder judicial internacional es sordo a las quejas,negativo
Sin evidencia real solo suposiciones políticas y persecución,negativo
Está pandemia está entera señores,negativo
ya vemos lo que hace la negligencia y maldad de un gobierno que no le interesa el bienestar de nadie,negativo
Solamente años debería ser cadena perpetua,negativo
Puro troll esta huevada,negativo
Preocúpense por la pandemia que es la que está acabando con,negativo
el ecuatoriano es víctima,negativo
Deberian poner Jueces y fiscales vendidos declaran culpables a todo por el miedo que les tienen,negativo
Es terrible,negativo
Bueno se acabó ahora si todos apañar a salir a delante por la emergencia Sanitaria,negativo
Será el primero y último caso de sentencia contra un ex presidente corrupto el resto son intocables,negativo
deberían darle Cadena de muerte,negativo
A la cárcel ladrón hijo de puta,negativo
ladron y corrupto,negativo
Es muy repugnante tanta corrupción descarada de los que se dicen gobernantes,negativo
No podemos dejar que esta gran injusticia continue,negativo
Ocho años para el hijo del mal,negativo
Poco para todo el mal realizado,negativo
Urgente es ver como se muere la gente en Guayaquil por culpa de este gobierno Inepto,negativo
Pobrecitos los que tanto le defendieron ahí está su ladrón ahora vayan a visitarle en la cárcel,negativo
A esconderse como las rata,negativo
bloquear políticamente a una persona mientras la ciudadanía agoniza en medio d una pandemia,negativo
No entiendo porque las personas dicen devuelva lo que robó hasta cuando con esa ignorancia,negativo
No se transmite el virus pero si se transmite la desinformación,negativo
la pauta y el odio que en ocasiones es peor que el propio virus,negativo
nadie les compra,negativo
se trasmite información real no se transmite contenido solo odio y es muy dañino,negativo
No compren el periódico,negativo
Pero por si acaso no nos dejemos convencer no compre esa pendejada ni para madurar aguacates,negativo
Pero la estupidez si,negativo
A falta de papel higiénico,negativo
Que bueno no tenia con que limpiar los vidrios y por si acaso se acabe el papel higiénico por que es para lo único que sirve,negativo
De todas formas ya no se puede confiar en la prensa sobre todo si tapan lo que hace gobierno,negativo
por mi parte no volveré a comprar el y no seré la única,negativo
Prensa Corrupta,negativo
Pero si el comercio es peor que el virus,negativo
igual no les compro Aunque a veces me hacen falta para madurar los aguacates,negativo
No gracias joven,negativo
Igual ya nadie compra,negativo
Prensa basura no saben como seguir vendiendo su asquerosidad de diario,negativo
Ni para eso sirven,negativo
Pero la desinformación si,negativo
nadie les compra,negativo
Eso no conviene a los que vende periódicos,negativo
ahora cuentenme una de vaqueros,negativo
Ya existe Internet Para que compran periódicos,negativo
puedo comprarme el comercio para limpiarme el culo,negativo
Personas inescrupulosas que odian el progreso,negativo
quienes hemos vivido mucho sabemos que nadie regala nada,negativo
NADA ES GRATIS EN ESTA VIDA,negativo
Es una estafa temebrosa,negativo
Pura estafa a mi hermana le pasó,negativo
Cuanto hay que perder,negativo
Ladrones,negativo
Es robo,negativo
es para sacar dinero,negativo
Estafa,negativo
Es falso,negativo
Ya habido mucho fraude,negativo
Ladrones estafan a la gente,negativo
Esas fotos son de delincuentes,negativo
personas que aceptan sobornos,negativo
Gente q hace dinero ilegalmente,negativo
pirámide de a verga,negativo
Definitivamente pendejo el que cree en estas cosas,negativo
mas falsos que los testigos de Jehova,negativo
Estafadores pregúntenles quién responde x su dinero cuando les hagan depositar,negativo
nadie da cara malditos ladrones,negativo
Eso es falso no caigan en esa mentira,negativo
Estafa piramidal,negativo
Es falso no caigan en este engaño quedan avisados,negativo
Ojalá renuncias mañana mismo,negativo
dejaste miles de familias llorando en esa día especial,negativo
Ciertamente no estamos celebrando nada,negativo
todos los ecuatorianos estamos afectados por los que estamos pasando,negativo
propagado por irresponsabilidad de nosotros mismos,negativo
destruyendo todo el país,negativo
es una porquería junto a todos los inútiles que lo rodean,negativo
usted no ama usted utiliza a los demás,negativo
muchos que solo quieren crear caos,negativo
Farsante y traidor no tomes el nombre de Cristo en vano,negativo
sería que renuncies,negativo
los muertos no lo dejarán dormir nunca más,negativo
No jodas Judas,negativo
Hasta cuando la explotación al pueblo,negativo
este no puede ni escribir peor manejar su cuenta de Twitter,negativo
Dios es un desgraciado,negativo
su bono esta matando gente,negativo
"Pura palabrería la tuya necesitamos más acciones menos ""texto""",negativo
Por tu culpa mi abuelo murió,negativo
No hubo atencion para el ni porque era afiliado.,negativo
Has matado a muchos familiares y familias,negativo
mí tío acaba de fallecer por culpa del inútil de presidente,negativo
Miserable mil veces,negativo
Cínico mal nacido,negativo
cínico que si debes ser tú,negativo
ni dignidad y humanidad tienes,negativo
no quitarle dinero para pagar deuda externa,negativo
Que horror esto,negativo
No sirve para nada,negativo
Es un asco de gente,negativo
Que se valla al infierno,negativo
Que se mueran todo esos corruptos,negativo
No respetan nada,negativo
Son de lo peor,negativo
USTEDES SON ESTAFADORES!,negativo
A mí me estafaron hace años me robaron y hasta la fecha me devuelven mi dinero,negativo
Pero si la transacción es peor que el virus,negativo
Todavía no lo compro aunque a veces necesito que el aguacate madure,negativo
No es necesario gente joven,negativo
Tal vez nadie está comprando,negativo
Los medios no deseados no saben cómo seguir vendiendo su inmundicia diaria,negativo
Esto no es bueno,negativo
Pero el mensaje de error es,negativo
Nadie compra,negativo
Esto no es para personas que venden periódicos,negativo
Ahora dime uno de los jeans,negativo
Internet ya existe puedes comprar periódicos,negativo
Puedo comprar una tienda para limpiarme el culo,negativo
Las personas poco éticas odian el progreso,negativo
Aquellos de nosotros que hemos vivido durante mucho tiempo sabemos que nadie renunciará a nada.,negativo
No hay libre en esta vida,negativo
Esta es una estafa terrible,negativo
Mi hermana es puro fraude,negativo
Cuanto perdiste,negativo
Ladron,negativo
robo,negativo
El esta haciendo dinero,negativo
Estafa piramidal,negativo
es falso,negativo
Hay mucho fraude,negativo
Ladrón es trampa,negativo
Estas fotos son criminales,negativo
Soborno,negativo
Alguien que gana dinero ilegalmente,negativo
Pirámide de verga,negativo
Los que creen en estas cosas deben ser estúpidos.,negativo
Más falso que los testigos de Jehová,negativo
Bromista hijo de perra pregunta quién contesta el dinero cuando ahorra dinero,negativo
Nadie se enfrenta a un maldito ladrón,negativo
Esto es un error no caigas en esta mentira,negativo
Estafa piramidal,negativo
Esto es un error por favor no caigas en este engaño has sido advertido de antemano,negativo
Son estafadores..!!,negativo
Ningun hijo de perra regala la plata,negativo
No seas gil,negativo
estubiera lleno de llorones que se la pasan insultando,negativo
Que tragedia el miedo es poderoso,negativo
solas sin ayuda ojala que alguna decida liberarse,negativo
Si escucharás noticias no preguntarías eso,negativo
la gente se muere sin atención,negativo
nos dañan la imagen internacional,negativo
Es falta de autoridades locale,negativo
tienes una confusión terrible en cuanto a competencias de las autoridades se refiere,negativo
Las sabatinas fue el balcón donde se asomaba a vomitar el odio,negativo
este Diabólico lleva bien pudrida alma,negativo
maquillado por los delincuentes quienes le alimentaban el enfermizo ego depravado mameluco,negativo
les permitió que roben millones y luego los dejaron escaper,negativo
Le alimentaban el ego al malvado,negativo
porque también participaron con él para la destrucción del país y del pueblo,negativo
nuevamente tratan de manipular aprovechándose de la crisis sanitaria y humanitaria para desestabilizar el gobierno,negativo
Hizo su reality show con el dinero de los ecuatorianos,negativo
Seguro que mucho se hubiera podido hacer en estos momentos que tanto se necesita con ese dinero,negativo
debe haber una Ley que prohiba a los gobiernos de turno hacer estas Sabatinas,negativo
otra cosa es una estaba al pueblo hacer campaña política con dineros públicos.,negativo
Vale más la política que la vida,negativo
hasta cuando el mismo cuento chino!!,negativo
pero que se va juntar con esa bestia,negativo
Esos millones estan en algunas cuentas de ese miserable,negativo
Lamentablemente es tarde y la maldita Corrupción sigue azotando al Ecuador,negativo
Increíble tanta brutalidad,negativo
impacto que dejaron estos irresponsables y queremos culpar a quien sea,negativo
lástima que se deje acariciar de ese monstruo,negativo
el burro hablando de orejas,negativo
Perro hijo de mula no me refiero al animal,negativo
Par de perras,negativo
pobre maldito ojala termines preso x toda tu vida,negativo
En pura guevonada,negativo
Mil quinientos de los grandes para alentar el ego del ladrón del Ático,negativo
Espero que te vayas mañana,negativo
Hizo llorar a miles de familias en este día,negativo
Ciertamente no celebramos,negativo
Todos los ecuatorianos estamos afectados por lo que estamos pasando,negativo
Publícalo con nuestro aviso legal,negativo
Destruye todo el país,negativo
Es una mierda con todo lo inútil a su alrededor.,negativo
No te gusta usas otros,negativo
Muchos solo quieren hacer un desastre,negativo
Solo por la cuarentena gobierno ayuda a las familias vulnerables,negativo
La única forma de evitar el acceso y garantizar que no se propague,negativo
Ahora que ha perdido a su madre su padre está en cuidados intensivos.,negativo
Entonces me negué,negativo
Si no respetan la ley y la salud de todas las personas.,negativo
Mejor firmar documentos que eximan derechos y obligaciones,negativo
Chaluisa es una líder sindical extremadamente estúpida,negativo
El capitalismo no cree que no le interese el pensamiento sistemático de las personas necesitadas,negativo
Si no respetan la ley y la salud de todas las personas,negativo
Los autos alineados aquí reabastecen su estupidez,negativo
Sal para ayudar a la gente deja de criticar,negativo
Las personas estúpidas no entienden la seriedad de las cosas.,negativo
Compra inminentemente no seas estúpido,negativo
¿Qué sucede con la terapia de reproducción asistida durante la temporada de pandemia?,negativo
Quiero encontrar a alguien responsable de mi propia experiencia.,negativo
Así como mintieron a los muertos en el terremoto mintieron como los muertos de #Covid,negativo
Serán los 3 principales países regiones con el mayor declive económico en la región.,negativo
Ahora deja el regionalismo,negativo
Las falsificaciones y los traidores no obtienen el nombre de Cristo por nada,negativo
Tu paras,negativo
Los muertos ya no lo dejarán dormir.,negativo
No jodas a Judá,negativo
La misma gente explotadora,negativo
Ni siquiera podía escribir peor para administrar su cuenta de Twitter,negativo
Dios es despreciable,negativo
Su recompensa mata gente,negativo
Cuando hablamos de ti necesitamos más trabajo y menos texto.,negativo
Mi abuelo murió por tu culpa,negativo
No estaba preocupado por él o porque era un compañero.,negativo
Ella mató a muchos padres y familias.,negativo
Mi tío acaba de morir por el presidente inútil.,negativo
Mil veces miserable,negativo
Nacido con ironía malvada,negativo
Sarcástico si fueras a ser,negativo
Tampoco tienen dignidad y humanidad,negativo
No tome dinero para pagar la deuda externa.,negativo
Qué horror de persona,negativo
es inútil,negativo
Disgustan a la gente,negativo
Ve al infierno,negativo
Dejen morir a todas estas personas corruptas,negativo
No respetas nada,negativo
Eres lo peor,negativo
Eres un sinvergüenza!,negativo
La #cuarentena obliga a que el gobierno asista a familias en situación de vulnerabilidad,negativo
La única manera de evitar contagiarte y asegurar que ya no se propague,negativo
perdió a su mamita por ahora su papá se encuentra en cuidados intensive,negativo
Yo por eso digo no cofiar,negativo
Si van a irrespetar la ley y la salud de todos.,negativo
Mejor firmen un documento de excención de derechos y obligaciones,negativo
Chaluisa es un dirigente sindical sumamente estupido,negativo
el capitalismo no piensa socialmente no le interesa un sistema pensado en los necesitados,negativo
Si van a irrespetar la ley y la salud de todos. Mejor firmen un documento de excención de derechos,negativo
Y aquí la cola Vehiculos para surtir gasoline que pendejada hacen,negativo
Sal a la e ayudar al Pueblo y deja de criticar,negativo
La gente necia no entiende la gravedad de asunto.,negativo
Es de suma urgencia La compra es inmediata no se hagan los tontos,negativo
Qué sucede con los tratamientos de reproducción asistida en la época de pandemia,negativo
quiere encontrar a una culpable de lo que están viviendo,negativo
Así como mintieron con los muertos del terremoto mienten con los muertos del #Covid,negativo
estaría en el top 3 de los países de la región con mayor caída de su #economía.,negativo
Ya dejen el regionalismo por el momento.,negativo
Una no puede liderar y el otro no puede ni hablar,negativo
